instrument_id,instrument_key,symbol,series,exchange,company_name,sector,isin_code,is_active
1583,NSE_EQ|INE526E01018,SHRIPISTON,EQ,NSE,SHRIRAM PIST. & RING LTD,Others,INE526E01018,True
415,NSE_EQ|INE721A01047,SHRIRAMFIN,EQ,NSE,SHRIRAM FINANCE LIMITED,NBFC,INE721A01047,True
2242,NSE_EQ|INE217L01019,SHRIRAMPPS,EQ,NSE,SHRIRAM PROPERTIES LTD,Others,INE217L01019,True
7173,NSE_EQ|INE0OMF01015,SHRITECH,SM,NSE,SHRI TECHTEX LIMITED,Others,INE0OMF01015,True
3376,NSE_EQ|INE01Z401013,SHUBHLAXMI,SM,NSE,SHUBHLAXMI JEWEL ART LTD,Others,INE01Z401013,True
7626,NSE_EQ|INE0UL701015,SHUBHSHREE,SM,NSE,SHUBHSHREE BIOFUELS ENE L,Others,INE0UL701015,True
2205,NSE_EQ|INE979R01011,SHYAMCENT,EQ,NSE,SHYAM CENTURY FERROUS LTD,Others,INE979R01011,True
3430,NSE_EQ|INE1CRP01016,SHYAMDHANI,SM,NSE,SHYAM DHANI INDUSTRIES L,Others,INE1CRP01016,True
1659,NSE_EQ|INE810G01011,SHYAMMETL,EQ,NSE,SHYAM METALICS AND ENGY L,Others,INE810G01011,True
4545,NSE_EQ|INE635A01023,SHYAMTEL,BE,NSE,SHYAM TELECOM LIMITED,Others,INE635A01023,True
1807,NSE_EQ|INE176J01011,SICAGEN,EQ,NSE,SICAGEN INDIA LIMITED,Others,INE176J01011,True
2587,NSE_EQ|INE075B01020,SICALLOG,BE,NSE,SICAL LOGISTICS LIMITED,Others,INE075B01020,True
6561,NSE_EQ|INE0SVO01019,SIDDHICOTS,SM,NSE,SIDDHI COTSPIN LIMITED,Others,INE0SVO01019,True
6879,NSE_EQ|INE0A1E01018,SIDDHIKA,SM,NSE,SIDDHIKA COATINGS LIMITED,Others,INE0A1E01018,True
418,NSE_EQ|INE003A01024,SIEMENS,EQ,NSE,SIEMENS LTD,Electric Equipment,INE003A01024,True
4052,NSE_EQ|INE0D0K01022,SIGACHI,BE,NSE,SIGACHI INDUSTRIES LTD,Others,INE0D0K01022,True
1179,NSE_EQ|INE529F01035,SIGIND,EQ,NSE,SIGNET INDUSTRIES LIMITED,Others,INE529F01035,True
2490,NSE_EQ|INE0A0S01028,SIGMA,EQ,NSE,SIGMA SOLVE LIMITED,Others,INE0A0S01028,True
8590,NSE_EQ|INE933B01012,SIGMAADV,BE,NSE,SIGMA ADVANCED SYSTEM LTD,Others,INE933B01012,True
604,NSE_EQ|INE903U01023,SIGNATURE,EQ,NSE,SIGNATUREGLOBAL INDIA LTD,Others,INE903U01023,True
3528,NSE_EQ|INE0RDE01010,SIGNORIA,SM,NSE,SIGNORIA CREATION LIMITED,Others,INE0RDE01010,True
564,NSE_EQ|INE0KGZ01021,SIGNPOST,EQ,NSE,SIGNPOST INDIA LIMITED,Others,INE0KGZ01021,True
2191,NSE_EQ|INE438E01032,SIKA,EQ,NSE,SIKA INTERPLANT SYSTEMS L,Others,INE438E01032,True
1823,NSE_EQ|INE112X01025,SIKKO,EQ,NSE,SIKKO INDUSTRIES LIMITED,Others,INE112X01025,True
623,NSE_EQ|INE173A01025,SIL,EQ,NSE,STANDARD INDUSTRIES LTD.,Others,INE173A01025,True
947,NSE_EQ|INE01II01013,SILGO,EQ,NSE,SILGO RETAIL LIMITED,Others,INE01II01013,True
1098,NSE_EQ|INE923A01015,SILINV,EQ,NSE,SIL INVESTMENTS LIMITED,Others,INE923A01015,True
6081,NSE_EQ|INE0STN01015,SILKFLEX,ST,NSE,SILKFLEX POLYMERS INDIA L,Others,INE0STN01015,True
4864,NSE_EQ|INE0SN801015,SILKY,SM,NSE,SILKY OVERSEAS LIMITED,Others,INE0SN801015,True
